"tema","indicador_id","indicador","descricao","variavel_principal","regra_calculo","tipo_indicador","populacao","variavel_sexo","desagrega_sexo","desagrega_idade","desagrega_regiao","peso_utilizado","unidade"
"Tabagismo","TAB01","Fumante atual","Adultos que fumam atualmente, diariamente ou nao.","q60","q60 %in% c(1,2)","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Tabagismo","TAB02","Fumante diario","Adultos que fumam cigarros diariamente.","q60","q60 == 1","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Tabagismo","TAB03","Fumante nao diario","Adultos que fumam cigarros, mas nao diariamente.","q60","q60 == 2","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Tabagismo","TAB04","Nao fumante","Adultos que nao fumam atualmente.","q60","q60 == 3","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Tabagismo","TAB05","Ex-fumante","Adultos que ja fumaram, mas nao fumam mais.","q64","q64 %in% c(1,2)","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Tabagismo","TAB06","Tentou parar de fumar","Fumantes que relataram tentativa de parar de fumar.","q63","q63 == 1","Prevalência","Fumantes atuais","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Tabagismo","TAB07","Exposicao ao fumo em casa","Adultos expostos ao fumo passivo no domicilio.","q67","q67 == 1","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Tabagismo","TAB08","Exposicao ao fumo no trabalho","Adultos expostos ao fumo passivo no ambiente de trabalho.","q68","q68 == 1","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Consumo de bebidas alcoolicas","ALC01","Consumo de bebida alcoolica","Adultos que referiram consumo de bebida alcoolica.","q35","q35 == 1","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Consumo de bebidas alcoolicas","ALC02","Consumo regular de alcool","Adultos que consomem bebida alcoolica semanalmente.","q36","q36 %in% c(1,2,3,4)","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Consumo de bebidas alcoolicas","ALC03","Consumo abusivo de alcool (homens)","Homens que consumiram cinco ou mais doses em uma unica ocasiao.","q37","q37 == 1 & q7 == 1","Prevalência","Homens >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Consumo de bebidas alcoolicas","ALC04","Consumo abusivo de alcool (mulheres)","Mulheres que consumiram quatro ou mais doses em uma unica ocasiao.","q38","q38 == 1 & q7 == 2","Prevalência","Mulheres >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","%"
"Consumo de bebidas alcoolicas","ALC05","Frequencia semanal de consumo","Frequencia com que o adulto consome bebida alcoolica.","q36","q36 %in% c(1,2,3,4)","Prevalência","Adultos >=18 anos","q7",TRUE,TRUE,TRUE,"pesorake","categorias"
