ano,linhas_recebidas,entrevistas_validas_utilizadas,metodo_contagem
2006,54369,54369,microdados anuais harmonizados após os filtros essenciais
2007,54251,54251,microdados anuais harmonizados após os filtros essenciais
2008,54353,54353,microdados anuais harmonizados após os filtros essenciais
2009,54367,54367,microdados anuais harmonizados após os filtros essenciais
2010,54339,54339,microdados anuais harmonizados após os filtros essenciais
2011,54144,54144,microdados anuais harmonizados após os filtros essenciais
2012,45448,45448,microdados anuais harmonizados após os filtros essenciais
2013,52929,52929,microdados anuais harmonizados após os filtros essenciais
2014,40853,40853,microdados anuais harmonizados após os filtros essenciais
2015,54174,54174,microdados anuais harmonizados após os filtros essenciais
2016,53210,53210,microdados anuais harmonizados após os filtros essenciais
2017,53034,53034,microdados anuais harmonizados após os filtros essenciais
2018,52395,52395,microdados anuais harmonizados após os filtros essenciais
2019,52443,52443,microdados anuais harmonizados após os filtros essenciais
2020,27077,27077,microdados anuais harmonizados após os filtros essenciais
2021,27093,27093,microdados anuais harmonizados após os filtros essenciais
2023,21690,21690,microdados anuais harmonizados após os filtros essenciais
2024,27048,27048,microdados anuais harmonizados após os filtros essenciais
