"cidade","ano","total_entrevistas"
1,2006,2031
2,2006,2021
3,2006,2016
4,2006,2017
5,2006,2012
6,2006,2013
7,2006,2011
8,2006,2010
9,2006,2017
10,2006,2013
11,2006,2014
12,2006,2012
13,2006,2017
14,2006,2013
15,2006,2013
16,2006,2009
17,2006,2010
18,2006,2014
19,2006,2014
20,2006,2017
21,2006,2012
22,2006,2010
23,2006,2011
24,2006,2012
25,2006,2011
26,2006,2011
27,2006,2008
1,2007,2010
2,2007,2014
3,2007,2010
4,2007,2011
5,2007,2009
6,2007,2008
7,2007,2010
8,2007,2002
9,2007,2010
10,2007,2011
11,2007,2012
12,2007,2010
13,2007,2013
14,2007,2009
15,2007,2012
16,2007,2008
17,2007,2002
18,2007,2010
19,2007,2011
20,2007,2010
21,2007,2006
22,2007,2010
23,2007,2010
24,2007,2006
25,2007,2010
26,2007,2010
27,2007,2007
1,2008,2014
2,2008,2012
3,2008,2016
4,2008,2013
5,2008,2012
6,2008,2012
7,2008,2012
8,2008,2011
9,2008,2010
10,2008,2014
11,2008,2012
12,2008,2014
13,2008,2016
14,2008,2012
15,2008,2019
16,2008,2014
17,2008,2013
18,2008,2014
19,2008,2010
20,2008,2012
21,2008,2013
22,2008,2012
23,2008,2013
24,2008,2013
25,2008,2014
26,2008,2013
27,2008,2013
1,2009,2014
2,2009,2012
3,2009,2011
4,2009,2010
5,2009,2013
6,2009,2012
7,2009,2014
8,2009,2011
9,2009,2011
10,2009,2011
11,2009,2009
12,2009,2010
13,2009,2012
14,2009,2021
15,2009,2024
16,2009,2012
17,2009,2010
18,2009,2025
19,2009,2010
20,2009,2023
21,2009,2011
22,2009,2020
23,2009,2011
24,2009,2010
25,2009,2011
26,2009,2019
27,2009,2010
1,2010,2006
2,2010,2009
3,2010,2007
4,2010,2019
5,2010,2010
6,2010,2010
7,2010,2010
8,2010,2007
9,2010,2011
10,2010,2012
11,2010,2011
12,2010,2004
13,2010,2007
14,2010,2098
15,2010,2006
16,2010,2009
17,2010,2005
18,2010,2008
19,2010,2005
20,2010,2016
21,2010,2007
22,2010,2009
23,2010,2021
24,2010,2008
25,2010,2010
26,2010,2010
27,2010,2004
1,2011,2003
2,2011,2042
3,2011,2006
4,2011,2018
5,2011,2000
6,2011,2001
7,2011,2000
8,2011,2000
9,2011,2002
10,2011,2000
11,2011,2002
12,2011,2000
13,2011,2001
14,2011,2015
15,2011,2000
16,2011,2002
17,2011,2016
18,2011,2000
19,2011,2016
20,2011,2002
21,2011,2004
22,2011,2001
23,2011,2009
24,2011,2001
25,2011,2001
26,2011,2000
27,2011,2002
1,2012,1677
2,2012,1696
3,2012,1811
4,2012,1692
5,2012,1666
6,2012,1666
7,2012,1668
8,2012,1669
9,2012,1690
10,2012,1710
11,2012,1667
12,2012,1650
13,2012,1668
14,2012,1629
15,2012,1698
16,2012,1692
17,2012,1665
18,2012,1668
19,2012,1671
20,2012,1662
21,2012,1690
22,2012,1685
23,2012,1675
24,2012,1737
25,2012,1667
26,2012,1679
27,2012,1700
1,2013,1942
2,2013,1955
3,2013,1956
4,2013,1953
5,2013,1949
6,2013,1964
7,2013,1951
8,2013,1956
9,2013,1977
10,2013,1979
11,2013,1953
12,2013,1949
13,2013,1978
14,2013,1959
15,2013,1956
16,2013,1960
17,2013,1949
18,2013,1954
19,2013,1951
20,2013,1971
21,2013,1980
22,2013,1960
23,2013,1942
24,2013,1999
25,2013,1954
26,2013,1966
27,2013,1966
1,2014,1503
2,2014,1512
3,2014,1519
4,2014,1500
5,2014,1501
6,2014,1509
7,2014,1504
8,2014,1507
9,2014,1518
10,2014,1538
11,2014,1517
12,2014,1500
13,2014,1518
14,2014,1502
15,2014,1509
16,2014,1514
17,2014,1506
18,2014,1513
19,2014,1505
20,2014,1517
21,2014,1537
22,2014,1533
23,2014,1512
24,2014,1535
25,2014,1500
26,2014,1511
27,2014,1513
1,2015,2005
2,2015,2003
3,2015,2007
4,2015,2026
5,2015,2007
6,2015,2006
7,2015,2002
8,2015,2005
9,2015,2001
10,2015,2003
11,2015,2000
12,2015,2011
13,2015,2005
14,2015,2006
15,2015,2017
16,2015,2002
17,2015,2013
18,2015,2004
19,2015,2010
20,2015,2011
21,2015,2012
22,2015,2002
23,2015,2005
24,2015,2002
25,2015,2001
26,2015,2001
27,2015,2007
1,2016,2015
2,2016,1998
3,2016,2004
4,2016,1853
5,2016,2011
6,2016,2040
7,2016,2011
8,2016,1886
9,2016,1944
10,2016,2012
11,2016,1919
12,2016,1880
13,2016,2017
14,2016,2014
15,2016,2009
16,2016,2034
17,2016,2035
18,2016,1897
19,2016,2031
20,2016,1806
21,2016,1934
22,2016,1922
23,2016,1934
24,2016,2034
25,2016,2001
26,2016,2003
27,2016,1966
1,2017,2025
2,2017,1920
3,2017,2008
4,2017,1674
5,2017,2032
6,2017,2026
7,2017,2063
8,2017,1970
9,2017,2027
10,2017,2048
11,2017,2063
12,2017,1439
13,2017,2056
14,2017,1646
15,2017,2018
16,2017,2070
17,2017,2067
18,2017,1846
19,2017,2053
20,2017,1831
21,2017,2031
22,2017,2048
23,2017,2051
24,2017,2020
25,2017,2041
26,2017,2055
27,2017,1906
1,2018,4002
2,2018,4000
3,2018,4144
4,2018,2400
5,2018,4000
6,2018,4020
7,2018,4116
8,2018,4010
9,2018,4150
10,2018,4094
11,2018,4004
12,2018,2666
13,2018,4102
14,2018,3202
15,2018,4096
16,2018,4036
17,2018,4080
18,2018,4096
19,2018,4132
20,2018,2922
21,2018,4124
22,2018,4060
23,2018,4008
24,2018,4104
25,2018,4035
26,2018,4004
27,2018,4184
1,2019,2053
2,2019,2059
3,2019,2064
4,2019,1017
5,2019,2086
6,2019,2064
7,2019,2058
8,2019,2080
9,2019,2051
10,2019,2050
11,2019,2064
12,2019,973
13,2019,2064
14,2019,1953
15,2019,2076
16,2019,1470
17,2019,2058
18,2019,1926
19,2019,2053
20,2019,1812
21,2019,2059
22,2019,2056
23,2019,2065
24,2019,2052
25,2019,2075
26,2019,2051
27,2019,2054
1,2020,1001
2,2020,1007
3,2020,1000
4,2020,1003
5,2020,1001
6,2020,1002
7,2020,1004
8,2020,1000
9,2020,1001
10,2020,1009
11,2020,1001
12,2020,1014
13,2020,1000
14,2020,1002
15,2020,1001
16,2020,1000
17,2020,1004
18,2020,1002
19,2020,1001
20,2020,1002
21,2020,1000
22,2020,1000
23,2020,1006
24,2020,1008
25,2020,1002
26,2020,1005
27,2020,1001
1,2021,1001
2,2021,1010
3,2021,1000
4,2021,1000
5,2021,1001
6,2021,1002
7,2021,1008
8,2021,1002
9,2021,1007
10,2021,1000
11,2021,1004
12,2021,1002
13,2021,1000
14,2021,1002
15,2021,1003
16,2021,1007
17,2021,1006
18,2021,1000
19,2021,1001
20,2021,1001
21,2021,1005
22,2021,1000
23,2021,1003
24,2021,1013
25,2021,1002
26,2021,1009
27,2021,1004
1,2023,805
2,2023,811
3,2023,802
4,2023,800
5,2023,803
6,2023,799
7,2023,812
8,2023,805
9,2023,800
10,2023,800
11,2023,801
12,2023,806
13,2023,800
14,2023,801
15,2023,803
16,2023,799
17,2023,800
18,2023,809
19,2023,801
20,2023,803
21,2023,798
22,2023,801
23,2023,797
24,2023,800
25,2023,801
26,2023,831
27,2023,802
