"ano","regiao","sexo","tipo_populacao","tema","indicador_id","indicador","unidade","numerador","denominador","n_entrevistas","valor"
2006,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",741452.7493259,1350620.9992986,4887,54.8971732048405
2007,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",790762.295888,1450065.001286,4829,54.5328861248776
2008,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",800995.3174967,1453853.0035874,4966,55.0946564418985
2009,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",835352.88321,1483017.996588,4942,56.3278992656804
2010,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",845715.328657,1495267.9987081,4986,56.5594481649906
2011,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",862657.791337,1509865.001374,4783,57.1347630782864
2012,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",886852.368504,1524045.996321,4126,58.1906563610832
2013,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",870806.748941,1538413.9936224,4911,56.604187985223
2014,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",879955.757142,1552982.997796,3774,56.6622917566282
2015,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",867610.401241139,1567752,5033,55.3410489185241
2016,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",917239.911946965,1582724,5056,57.953244655857
2017,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",913790.610572628,1597899,5368,57.1870068491581
2018,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",928848.330995181,1613285,5174,57.5749685266511
2019,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",925219.111525628,1628878.8400484,5451,56.8009779965057
2020,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",962951.680739859,1644684.44368505,2571,58.5493274674799
2021,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",936194.705039287,1656598.265625,2711,56.5130801151769
2023,"Centro-Oeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",952232.688288555,1684039.96289062,2008,56.5445422479206
2006,"Nordeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",3301347.1052067,5991230.0348943,10927,55.1029936420217
2007,"Nordeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",3615239.1506522,6331832.0021147,10811,57.0962582305529
2008,"Nordeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",3528238.1017565,6297524.9827331,10898,56.0257896781738
2009,"Nordeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",3464223.8479083,6386094.9390444,10925,54.2463568264251
2010,"Nordeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",3810794.7917744,6728808.0060157,11164,56.6340247539753
2011,"Nordeste","Feminino","População Geral","Morbidade referida","MR06","Artrite ou reumatismo","%",3922190.1739946,6791122.9930102,10856,57.7546626387349
