"cidade","ano","soma_pesorake"
1,2006,331757.001348
2,2006,925303.000636
3,2006,1682924.00023
4,2006,142283.0002244
5,2006,500609.0002299
6,2006,348754.0006107
7,2006,1245215.997303
8,2006,286110.999309
9,2006,1549983.989959
10,2006,832348.001536
11,2006,443306.999783
12,2006,203854.999999
13,2006,585355.001369
14,2006,1008947.997163
15,2006,515594.998296
16,2006,133064.9999364
17,2006,1032562.997239
18,2006,223160.0018722
19,2006,1028307.000627
20,2006,182715.0016485
21,2006,4448555.01278
22,2006,1825040.00835
23,2006,619025.001853
24,2006,7672252.01624
25,2006,499882.000716
26,2006,221035.001574
27,2006,1558244.002798
1,2007,354882.9984062
2,2007,993599.999498
3,2007,1775495.0094
4,2007,155836.9998899
5,2007,543071.002078
6,2007,381426.998837
7,2007,1323226.004033
8,2007,308791.999698
9,2007,1666590.008221
10,2007,889518.000247
11,2007,477288.999561
12,2007,218407.0005348
13,2007,616102.998883
14,2007,1099824.999178
15,2007,554779.000011
16,2007,148151.0000882
17,2007,1080017.001076
18,2007,245194.9990709
19,2007,1093018.996252
20,2007,198834.9992881
21,2007,4580055.99475
22,2007,1950449.004888
23,2007,677962.000854
24,2007,8015190.98146
25,2007,546603.0019466
26,2007,235659.0008355
27,2007,1654915.991366
1,2008,374310.9993532
2,2008,983258.998086
3,2008,1792757.998952
4,2008,159544.9997967
5,2008,523906.002111
6,2008,379756.9989013
7,2008,1339871.006306
8,2008,300722.000599
9,2008,1690623.994682
10,2008,913783.995329
11,2008,487877.9993115
12,2008,206705.9993806
13,2008,607408.000209
14,2008,1095571.000747
15,2008,556227.001354
16,2008,117653.9993315
17,2008,1069341.004937
18,2008,242228.0009473
19,2008,1115645.996034
20,2008,187317.0001994
21,2008,4587757.97279
22,2008,2097782.001438
23,2008,662950.997476
24,2008,7973763.01904
25,2008,542345.9992296
26,2008,234651.000243
27,2008,1748265.009053
1,2009,381394.000956
2,2009,1000931.001763
3,2009,1815958.995324
4,2009,164785.001246
5,2009,533572.999542
6,2009,386908.998167
7,2009,1367579.996637
8,2009,307438.000117
9,2009,1726416.008712
10,2009,931959.99998
11,2009,497971.997609
12,2009,212134.0014807
13,2009,617962.999884
14,2009,1126277.000966
15,2009,565608.999835
16,2009,121628.9999867
17,2009,1080542.994828
18,2009,247424.0000693
19,2009,1131323.000843
20,2009,191676.0004243
21,2009,4631540.99644
22,2009,2143435.998225
23,2009,674945.998892
24,2009,8049931.91505
25,2009,545915.000686
26,2009,237468.001665
27,2009,1792969.002692
1,2010,414052.001743
2,2010,992891.011329
3,2010,1818851.995237
4,2010,181410.9986841
5,2010,566483.002508
6,2010,395410.001805
7,2010,1320384.999183
8,2010,327560.998961
9,2010,1762994.000358
10,2010,966773.000559
11,2010,526509.9999041
12,2010,247697.9990598
13,2010,648526.999772
14,2010,1185260.998651
15,2010,585878.9973518
16,2010,154133.0000877
17,2010,1084136.001487
18,2010,289577.00112
19,2010,1140476.000565
20,2010,217280.0007806
21,2010,4815995.98221
22,2010,1993228.001741
23,2010,717172.997386
24,2010,8411089.02438
25,2010,579482.001018
26,2010,250027.000721
27,2010,1830064.993353
1,2011,420152.00125
2,2011,999060.996725
3,2011,1826884.997242
4,2011,185511.9996399
5,2011,573290.00068
6,2011,399142.000489
7,2011,1329908.004039
8,2011,332273.999187
9,2011,1780538.003594
10,2011,978761.998783
11,2011,533523.000464
12,2011,253184.0002403
13,2011,655732.00259
14,2011,1205263.000845
15,2011,591012.001948
16,2011,158849.0005552
17,2011,1087015.000575
18,2011,294446.9992054
19,2011,1147010.001066
20,2011,221327.9997435
21,2011,4843047.97911
22,2011,2006600.006538
23,2011,726074.0005812
24,2011,8457888.97603
25,2011,585269.996285
26,2011,252106.000231
27,2011,1858431.015981
1,2012,426050.002112
2,2012,1005025.999263
3,2012,1834653.009764
4,2012,189478.9998341
5,2012,579873.997193
6,2012,402751.00069
7,2012,1339115.999944
8,2012,336828.000636
9,2012,1797509.999441
10,2012,990360.001255
11,2012,540308.00048
12,2012,258489.9993315
13,2012,662881.000503
14,2012,1224610.998593
15,2012,595976.000582
16,2012,163404.9991558
17,2012,1089799.000411
18,2012,299155.000516
19,2012,1153333.004819
20,2012,225244.0007461
21,2012,4869214.00207
22,2012,2019535.002607
23,2012,734679.00036
24,2012,8503156.96766
25,2012,590868.999471
26,2012,254114.998762
27,2012,1885871.009806
1,2013,432029.998501
2,2013,1011026.002753
3,2013,1842454.00741
4,2013,193529.9994497
5,2013,586532.999703
6,2013,406391.999622
7,2013,1348386.993215
8,2013,341443.997831
9,2013,1814642.998142
10,2013,1002095.00136
11,2013,547179.0016084
12,2013,263907.0003902
13,2013,670106.9993116
14,2013,1244268.9992661
15,2013,600981.002279
16,2013,168090.999608
17,2013,1092590.001137
18,2013,303935.9999124
19,2013,1159689.993141
20,2013,229229.0006216
21,2013,4895520.99865
22,2013,2032552.988851
23,2013,743384.996051
24,2013,8548666.95394
25,2013,596521.0036085
26,2013,256139.998938
27,2013,1913715.996323
1,2014,438092.999974
2,2014,1017061.003399
3,2014,1850287.995688
4,2014,197666.9986006
5,2014,593267.99988
6,2014,410064.999977
7,2014,1357721.995271
8,2014,346123.000811
9,2014,1831939.006822
10,2014,1013969.001468
11,2014,554136.999208
12,2014,269437.0001083
13,2014,677411.001306
14,2014,1264242.002421
15,2014,606028.000189
16,2014,172911.0000765
17,2014,1095388.002581
18,2014,308793.9997783
19,2014,1166082.001853
20,2014,233284.0000376
21,2014,4921970.00386
22,2014,2045654.00388
23,2014,752194.000488
24,2014,8594420.00024
25,2014,602227.001969
26,2014,258181.000818
27,2014,1941971.989242
1,2015,444240.999999999
2,2015,1023132
3,2015,1858155
4,2015,201892
5,2015,600080
6,2015,413770.999999999
7,2015,1367121
8,2015,350866.000000001
9,2015,1849399
10,2015,1025983
11,2015,561182.999999999
12,2015,275082
13,2015,684793.999999998
14,2015,1284535
15,2015,611116.999999999
16,2015,177868.999999999
17,2015,1098193
18,2015,313728.999999999
19,2015,1172509
20,2015,237409.999999999
21,2015,4948561
22,2015,2058839
23,2015,761106.999999998
24,2015,8640416.99999999
25,2015,607986.999999999
26,2015,260238
27,2015,1970645
1,2016,450474.999999999
2,2016,1029239
3,2016,1866055
4,2016,206206.999999999
5,2016,606970
6,2016,417510
7,2016,1376585
8,2016,355672.999999999
9,2016,1867025
10,2016,1038139
11,2016,568317.999999998
12,2016,280844.999999999
13,2016,692256.999999999
14,2016,1305153
15,2016,616247.999999999
16,2016,182969
17,2016,1101005
18,2016,318742
19,2016,1178971
20,2016,241608
21,2016,4975294.99999999
22,2016,2072108
23,2016,770125
24,2016,8686659.99999999
25,2016,613801.999999998
26,2016,262311
27,2016,1999741
1,2017,456795.999999999
2,2017,1035382
3,2017,1873987.99999999
4,2017,210613.999999999
5,2017,613939
6,2017,421282
7,2017,1386114
8,2017,360544.999999999
9,2017,1884818
10,2017,1050439
11,2017,575543
12,2017,286728
13,2017,699800.999999999
14,2017,1326101
15,2017,621422
16,2017,188214.999999999
17,2017,1103824
18,2017,323835
19,2017,1185468
20,2017,245880
21,2017,5002172.99999999
22,2017,2085462
23,2017,779249
24,2017,8733149.99999998
25,2017,619671.999999998
26,2017,264399.999999999
27,2017,2029266
1,2018,918178
2,2018,2072212
3,2018,3740703
4,2018,422431.999999999
5,2018,1225931
6,2018,841590.999999999
7,2018,2767998
8,2018,728256
9,2018,3776257.99999999
10,2018,2105791
11,2018,1155333
12,2018,581056.999999999
13,2018,1404738
14,2018,2674419
15,2018,1245380
16,2018,381003.000000001
17,2018,2206758.99999999
18,2018,651501.000000001
19,2018,2369154
20,2018,494734
21,2018,10016191
22,2018,4164099
23,2018,1565233
24,2018,17323440
25,2018,1234142
26,2018,530301.999999999
27,2018,4076545
1,2019,469703
2,2019,1047776
3,2019,1889953
4,2019,219712
5,2019,628117.000000001
6,2019,428928
7,2019,1405368
8,2019,370488
9,2019,1920913
10,2019,1075476
11,2019,590267
12,2019,298865
13,2019,715136
14,2019,1369010
15,2019,631899
16,2019,199161
17,2019,1109483
18,2019,334265
19,2019,1198567
20,2019,254650
21,2019,5056364
22,2019,2112428
23,2019,797822
24,2019,8826876
25,2019,631580
26,2019,268626
27,2019,2089628
1,2020,476292
2,2020,1054028
3,2020,1897985
4,2020,224407
5,2020,635327
6,2020,432802
7,2020,1415094
8,2020,375561
9,2020,1939218
10,2020,1088217
11,2020,597769
12,2020,305124
13,2020,722929
14,2020,1390982
15,2020,637203
16,2020,204870
17,2020,1112323
18,2020,339604
19,2020,1205170
20,2020,259151
21,2020,5083678
22,2020,2126041
23,2020,807273
24,2020,8874115
25,2020,637619
26,2020,270763
27,2020,2120478
1,2021,480298.498046875
2,2021,1058865.4765625
3,2021,1904131.0625
4,2021,227584.76953125
5,2021,642085.17578125
6,2021,435679.845703125
7,2021,1422886.1484375
8,2021,378552.322265625
9,2021,1952233.296875
10,2021,1096212.421875
11,2021,604660.0546875
12,2021,310298.235351562
13,2021,730031.34765625
14,2021,1406893.0859375
15,2021,641881.60546875
16,2021,208148.541992188
17,2021,1120383.3828125
18,2021,347594.79296875
19,2021,1212656.5859375
20,2021,262176.409179688
21,2021,5116897.8125
22,2021,2136523.5
23,2021,815557.66796875
24,2021,8908270.25
25,2021,641479.28125
26,2021,272965.021484375
27,2021,2143090.171875
1,2023,489673.8828125
2,2023,1065598.34375
3,2023,1908360.65625
4,2023,235671.319335937
5,2023,662913.54296875
6,2023,441937.98046875
7,2023,1437553.6171875
8,2023,384671.890625
9,2023,1978169.09375
10,2023,1112991.34765625
11,2023,627653.58984375
12,2023,328321.100585937
13,2023,751411.9765625
14,2023,1451384.5625
15,2023,652040.49609375
16,2023,217031.770019531
