variavel,codigo,rotulo
chave,,
ano,,
cidade,1,aracaju
cidade,2,belem
cidade,3,belo horizonte
cidade,4,boa vista
cidade,5,campo grande
cidade,6,cuiaba
cidade,7,curitiba
cidade,8,florianopolis
cidade,9,fortaleza
cidade,10,goiania
cidade,11,joao pessoa
cidade,12,macapa
cidade,13,maceio
cidade,14,manaus
cidade,15,natal
cidade,16,palmas
cidade,17,porto alegre
cidade,18,porto velho
cidade,19,recife
cidade,20,rio branco
cidade,21,rio de janeiro
cidade,22,salvador
cidade,23,sao luis
cidade,24,sao paulo
cidade,25,teresina
cidade,26,vitoria
cidade,27,distrito federal
q6,,
q7,1,masculino
q7,2,feminino
q8a,1,curso primário
q8a,2,admissão
q8a,3,curso ginasial ou ginásio
q8a,4,1º grau ou fundamental ou supletivo de 1º grau
q8a,5,2º grau ou colégio ou técnico ou normal ou científico científico ou ensino médio ou supletivo de 2º grau
q8a,6,3º grau ou curso superior
q8a,7,"pós-graduação (especialização, mestrado, doutorado)"
q8a,8,nunca estudou
q8a,777,não sabe
q8a,888,não quis responder
q8b,,
q8_anos,,
q9,777,não sabe
q9,888,não quis informar
q11,777,não sabe
q11,888,não quis informar
q14,1,sim
q14,2,não
q14,777,não sabe
q14a,1,sim
q14a,2,não
q14a,777,não sabe
r128,1,sim
r128,2,não
r128,888,não quis informar
r128a,1,sim
r128a,2,não
r128a,888,não quis informar
q12,1,sim
q12,2,não
q13,,
r190,1,sim
r190,2,não
r190,888,não quis informar
q15,1,1 a 2 dias por semana
q15,2,3 a 4 dias por semana
q15,3,5 a 6 dias por semana
q15,4,todos os dias ( inclusive sábado e domingo)
q15,5,quase nunca
q15,6,nunca
q16,1,1 a 2 dias por semana
q16,2,3 a 4 dias por semana
q16,3,5 a 6 dias por semana
q16,4,todos os dias ( inclusive sábado e domingo)
q16,5,quase nunca
q16,6,nunca
q17,1,1 a 2 dias por semana
q17,2,3 a 4 dias por semana
q17,3,5 a 6 dias por semana
q17,4,todos os dias ( inclusive sábado e domingo)
q17,5,quase nunca
q17,6,nunca
q18,1,no almoço (1 vez no dia)
q18,2,no jantar
q18,3,no almoço e no jantar (2 vezes no dia)
q19,1,1 a 2 dias por semana
q19,2,3 a 4 dias por semana
q19,3,5 a 6 dias por semana
q19,4,todos os dias ( inclusive sábado e domingo)
q19,5,quase nunca
q19,6,nunca
q20,1,no almoço (1 vez no dia)
q20,2,no jantar
q20,3,no almoço e no jantar (2 vezes no dia)
q21,1,1 a 2 dias por semana
q21,2,3 a 4 dias por semana
q21,3,5 a 6 dias por semana
q21,4,todos os dias ( inclusive sábado e domingo)
q21,5,quase nunca
q21,6,nunca
q21a,1,sim
q21a,2,não
q22,1,tirar sempre o excesso de gordura
q22,2,comer com a gordura
q22,3,não come carne vermelha com muita gordura
q23,1,1 a 2 dias por semana
q23,2,3 a 4 dias por semana
q23,3,5 a 6 dias por semana
q23,4,todos os dias ( inclusive sábado e domingo)
q23,5,quase nunca
q23,6,nunca
q23a,1,sim
q23a,2,não
q24,1,tirar sempre a pele
q24,2,comer com a pele
q24,3,não come pedaços de frango com pele
