"ano","regiao","total_entrevistas"
2006,"Centro-Oeste",8050
2007,"Centro-Oeste",8039
2008,"Centro-Oeste",8048
2009,"Centro-Oeste",8048
2010,"Centro-Oeste",8041
2011,"Centro-Oeste",8003
2012,"Centro-Oeste",6667
2013,"Centro-Oeste",7817
2014,"Centro-Oeste",6031
2015,"Centro-Oeste",8015
2016,"Centro-Oeste",7981
2017,"Centro-Oeste",8184
2018,"Centro-Oeste",16140
2019,"Centro-Oeste",8272
2020,"Centro-Oeste",4008
2021,"Centro-Oeste",4015
2023,"Centro-Oeste",3215
2006,"Nordeste",18129
2007,"Nordeste",18084
2008,"Nordeste",18119
2009,"Nordeste",18131
2010,"Nordeste",18184
2011,"Nordeste",18032
2012,"Nordeste",15111
2013,"Nordeste",17667
2014,"Nordeste",13632
2015,"Nordeste",18046
2016,"Nordeste",17732
2017,"Nordeste",17185
2018,"Nordeste",33038
2019,"Nordeste",16479
2020,"Nordeste",9047
2021,"Nordeste",9038
2023,"Nordeste",7242
2006,"Norte",14104
2007,"Norte",14069
2008,"Norte",14096
2009,"Norte",14089
2010,"Norte",14058
2011,"Norte",14097
2012,"Norte",11780
2013,"Norte",13722
2014,"Norte",10587
2015,"Norte",14086
2016,"Norte",13877
2017,"Norte",13819
2018,"Norte",26934
2019,"Norte",13386
2020,"Norte",7016
2021,"Norte",7025
2023,"Norte",5613
2006,"Sudeste",8045
2007,"Sudeste",8037
2008,"Sudeste",8055
2009,"Sudeste",8052
2010,"Sudeste",8030
2011,"Sudeste",8010
2012,"Sudeste",6863
2013,"Sudeste",7836
2014,"Sudeste",6065
2015,"Sudeste",8017
2016,"Sudeste",7893
2017,"Sudeste",8003
2018,"Sudeste",16423
2019,"Sudeste",8249
2020,"Sudeste",4003
2021,"Sudeste",4006
2023,"Sudeste",3206
2006,"Sul",6041
2007,"Sul",6022
2008,"Sul",6035
2009,"Sul",6047
2010,"Sul",6026
2011,"Sul",6002
2012,"Sul",5027
2013,"Sul",5887
2014,"Sul",4538
2015,"Sul",6010
2016,"Sul",5727
2017,"Sul",5843
2018,"Sul",12256
2019,"Sul",6057
2020,"Sul",3003
2021,"Sul",3009
2023,"Sul",2414
