"ano","regiao","soma_pesorake"
2006,"Centro-Oeste",2537885.9979266
2007,"Centro-Oeste",2725013.004509
2008,"Centro-Oeste",2731412.0066298
2009,"Centro-Oeste",2786033.991955
2010,"Centro-Oeste",2808788.0034001
2011,"Centro-Oeste",2835863.005672
2012,"Centro-Oeste",2862048.998307
2013,"Centro-Oeste",2888490.9941484
2014,"Centro-Oeste",2915191.994336
2015,"Centro-Oeste",2942155
2016,"Centro-Oeste",2969383
2017,"Centro-Oeste",2996878
2018,"Centro-Oeste",5990852.99999999
2019,"Centro-Oeste",3052680
2020,"Centro-Oeste",3080992
2021,"Centro-Oeste",3105311.22460938
2023,"Centro-Oeste",3170058.73046875
2006,"Nordeste",11205000.0212979
2007,"Nordeste",11838430.9808918
2008,"Nordeste",11766708.0110997
2009,"Nordeste",11927415.9194007
2010,"Nordeste",12563486.0233681
2011,"Nordeste",12673606.9782592
2012,"Nordeste",12780110.9679754
2013,"Nordeste",12887812.9486759
2014,"Nordeste",12996731.0056314
2015,"Nordeste",13106882
2016,"Nordeste",13218285
2017,"Nordeste",13330958
2018,"Nordeste",26574157
2019,"Nordeste",13560189
2020,"Nordeste",13676787
2021,"Nordeste",13760820.1318359
2023,"Nordeste",13933810.4418945
2006,"Norte",8677961.0111714
2007,"Norte",9073410.9903599
2008,"Norte",9079183.9732067
2009,"Norte",9192694.994839
2010,"Norte",9449315.9913989
2011,"Norte",9508389.9816539
2012,"Norte",9565708.0074821
2013,"Norte",9623444.9967213
2014,"Norte",9681607.0117886
2015,"Norte",9740197.99999999
2016,"Norte",9799221.99999999
2017,"Norte",9858683.99999998
2018,"Norte",19736866
2019,"Norte",9978937
2020,"Norte",10039738
2021,"Norte",10108300.9804688
2023,"Norte",10291334.3701172
2006,"Sudeste",5566090.012094
2007,"Sudeste",5927463.0076006
2008,"Sudeste",6181151.0086726
2009,"Sudeste",6298278.996927
2010,"Sudeste",6221626.991349
2011,"Sudeste",6277186.016046
2012,"Sudeste",6330928.021648
2013,"Sudeste",6385243.9961925
2014,"Sudeste",6440140.990779
2015,"Sudeste",6495625.99999999
2016,"Sudeste",6551705.99999999
2017,"Sudeste",6608387.99999999
2018,"Sudeste",13215489
2019,"Sudeste",6723589
2020,"Sudeste",6782123
2021,"Sudeste",6825224.015625
2023,"Sudeste",6909762.2109375
2006,"Sul",2059254.9911402
2007,"Sul",2220577.0069899
2008,"Sul",2233573.9962283
2009,"Sul",2281278.0088983
2010,"Sul",2380132.000439
2011,"Sul",2407259.0019864
2012,"Sul",2433493.000593
2013,"Sul",2460022.9958854
2014,"Sul",2486856.0074113
2015,"Sul",2513994
2016,"Sul",2541440
2017,"Sul",2569198
2018,"Sul",5156014.99999999
2019,"Sul",2625666
2020,"Sul",2654383
2021,"Sul",2678380.41210937
2023,"Sul",2742956.8984375
