"cidade","soma_pesorake"
1,7758379.38450277
2,18314390.8337645
3,33179598.727997
4,3518569.08623258
5,10615969.7226749
6,7344108.82527087
7,24550130.761556
8,6191906.21003962
9,32789271.400556
10,18112817.7700482
11,9888829.64246025
12,4800138.3364627
13,12142585.3280463
14,22662744.6462676
15,10829277.1034083
16,3097155.31083772
17,19711005.394896
18,5463302.70952305
19,20887885.0577
20,4152950.92048189
21,88001284.50516
22,37024493.344643
23,13444078.9470662
24,153164369.91654
25,10724553.5596172
26,4608556.19812343
27,34811370.635614
