ano,uf,tipo_populacao,total_entrevistas,soma_dos_pesos
2024,AC,População Geral,1000,270164803.813
2024,AL,População Geral,1001,741066176.969
2024,AM,População Geral,1000,1520696864
2024,AP,População Geral,1000,319326058.305
2024,BA,População Geral,1001,1930099726.125
2024,CE,População Geral,1000,1887794843.531
2024,DF,População Geral,1026,2292312570.594
2024,ES,População Geral,1004,263259135.895
2024,GO,População Geral,1000,1154548936.531
2024,MA,População Geral,1001,814712691.703
2024,MG,População Geral,1000,1888440079.125
2024,MS,População Geral,1005,696039652.906
2024,MT,População Geral,1002,509997766.188
2024,PA,População Geral,1000,1011084634.328
2024,PB,População Geral,1000,661913249.938
2024,PE,População Geral,1000,1174923838.5
2024,PI,População Geral,1001,677991237.063
2024,PR,População Geral,1000,1438596237.625
2024,RJ,População Geral,1001,4984711964.375
2024,RN,População Geral,1000,590011152.422
2024,RO,População Geral,1001,346412094.461
2024,RR,População Geral,1000,304981225.801
2024,RS,População Geral,1002,1082028296.594
2024,SC,População Geral,1000,457868488.914
2024,SE,População Geral,1000,478013400.031
2024,SP,População Geral,1000,9175582186.25
2024,TO,População Geral,1003,235785435.496
